date,code,rate,amount
2022-07-29,sh.600000,0.9063670411985019,4182142702.8000
2022-07-29,sh.600004,0.8803535010197144,5249185446.8900
2022-07-29,sh.600006,0.9546666666666667,8842241553.0900
2022-07-29,sh.600007,0.9769647696476965,996827609.2500
2022-07-29,sh.600008,1.0103092783505154,4032979720.0700
2022-07-29,sh.600009,0.9182837813779597,14792687264.3600
2022-07-29,sh.600010,0.9699570815450642,27795843324.7400
2022-07-29,sh.600011,0.9873417721518987,17862928099.7800
2022-07-29,sh.600012,0.9262734584450403,1541883891.0700
2022-07-29,sh.600015,0.9827255278310941,1437273136.7100
2022-07-29,sh.600016,0.978494623655914,3313687812.8800
2022-07-29,sh.600017,1.0361842105263157,3223223202.7400
2022-07-29,sh.600018,0.9415807560137457,3125786263.2700
2022-07-29,sh.600019,0.9387417218543046,8710957442.6800
2022-07-29,sh.600020,0.9903846153846153,1310252942.2000
2022-07-29,sh.600021,0.9342995169082126,13839976038.4100
2022-07-29,sh.600022,0.9710982658959537,2188673920.0900
2022-07-29,sh.600023,1.0,3523601491.9400
2022-07-29,sh.600025,1.01,5132361480.1900
2022-07-29,sh.600026,1.2312925170068028,13350381230.9600
2022-07-29,sh.600027,1.0964467005076144,7659439817.5900
2022-07-29,sh.600028,1.0073529411764706,6563846684.4200
2022-07-29,sh.600029,0.8815426997245179,6271497641.3100
2022-07-29,sh.600030,0.903225806451613,27214883495.8400
2022-07-29,sh.600031,0.882901554404145,35532854726.7200
2022-07-29,sh.600032,0.9409061063690085,8770103425.5800
2022-07-29,sh.600033,1.0505415162454874,2875785778.5600
2022-07-29,sh.600035,1.0948012232415902,3549504850.4500
2022-07-29,sh.600036,0.8275129778197262,56452909387.8300
2022-07-29,sh.600037,0.9468085106382979,2706668436.4200
2022-07-29,sh.600038,0.9722838137472284,9308414766.3000
2022-07-29,sh.600039,0.9492957746478873,5110428789.6300
2022-07-29,sh.600048,0.9542072123640528,32452842670.1400
2022-07-29,sh.600050,0.9913544668587896,4129082844.2700
2022-07-29,sh.600051,1.052863436123348,914157053.1400
2022-07-29,sh.600052,1.1393805309734515,1217423498.4300
2022-07-29,sh.600053,1.0423053341508277,910574613.4800
2022-07-29,sh.600054,0.888135593220339,1903290105.9600
2022-07-29,sh.600055,0.9089043906442347,3532344099.0100
2022-07-29,sh.600056,0.9790823211875843,25532787109.7900
2022-07-29,sh.600057,0.9454545454545454,2127605404.9300
2022-07-29,sh.600058,0.9733464955577491,4086236345.5200
2022-07-29,sh.600059,0.9065934065934066,2921988057.1900
2022-07-29,sh.600060,1.0318979266347688,3555268998.9200
2022-07-29,sh.600061,0.9622047244094489,1965931753.3400
