date,code,open,close,amount
2022-07-29,sh.601118,4.7400,4.4900,1353380394.3600
2022-07-29,sh.601126,16.3000,18.6000,15058922359.2100
2022-07-29,sh.601127,81.3300,76.4000,43570681628.2900
2022-07-29,sh.601128,7.6500,7.7200,4666575036.5300
2022-07-29,sh.601137,17.5000,20.9300,7378430819.3800
2022-07-29,sh.601138,9.8300,10.0500,4180356804.3600
2022-07-29,sh.601139,6.9500,7.1500,1301087883.8400
2022-07-29,sh.601155,25.3900,20.9300,10055016905.3900
2022-07-29,sh.601156,19.8800,17.5200,3196014244.4100
2022-07-29,sh.601158,5.3600,5.4500,720115407.0500
2022-07-29,sh.601162,3.1800,3.0100,3421043392.5400
2022-07-29,sh.601163,11.7200,11.6900,475227810.4000
2022-07-29,sh.601166,19.9200,17.7700,32530479528.6900
2022-07-29,sh.601168,11.7300,11.2300,14867338417.9100
2022-07-29,sh.601169,4.5400,4.1700,3877738779.3500
2022-07-29,sh.601177,8.5100,9.8000,1156364763.6100
2022-07-29,sh.601179,4.6800,5.0600,6876626881.1900
2022-07-29,sh.601186,7.9200,7.3600,7661584403.1400
2022-07-29,sh.601187,5.9600,5.6800,951323548.2500
2022-07-29,sh.601188,3.2200,3.0100,641729167.2700
2022-07-29,sh.601198,8.8800,8.2100,2634989742.9600
2022-07-29,sh.601199,7.8200,8.3700,2075643396.3600
2022-07-29,sh.601200,10.1500,10.0400,1519129146.9800
2022-07-29,sh.601208,12.8000,12.3800,3130011463.1500
2022-07-29,sh.601211,15.1800,14.4500,5787700667.2000
2022-07-29,sh.601212,2.7500,2.8300,1442363557.2200
2022-07-29,sh.601216,4.8200,4.5500,4279302627.2200
2022-07-29,sh.601218,5.0100,5.4300,5113321289.9000
2022-07-29,sh.601222,8.4300,9.6000,18385480478.9300
2022-07-29,sh.601225,21.0000,19.1100,21935228458.0500
2022-07-29,sh.601226,4.9400,5.8800,3296141053.3900
2022-07-29,sh.601228,3.6900,3.6700,1709046657.8900
2022-07-29,sh.601229,6.5500,5.9600,2639351865.2700
2022-07-29,sh.601231,14.3800,17.8400,4652097881.8400
2022-07-29,sh.601233,15.8900,14.4300,5362288333.2800
2022-07-29,sh.601236,9.0900,8.8200,4475715506.9600
2022-07-29,sh.601238,15.2600,14.8900,14337143153.5600
2022-07-29,sh.601258,1.3900,1.3400,1596836698.5100
2022-07-29,sh.601279,6.8300,6.6200,1552280835.2000
2022-07-29,sh.601288,3.0200,2.8500,21834509556.8500
2022-07-29,sh.601298,5.4800,5.4700,848101152.5800
2022-07-29,sh.601311,11.2200,11.6400,7401619272.1500
2022-07-29,sh.601318,46.7000,42.1200,34732450825.4600
2022-07-29,sh.601319,5.0500,4.6600,3639449571.2800
2022-07-29,sh.601326,2.8300,2.9900,1354444755.6200
2022-07-29,sh.601328,4.9800,4.6200,9471104771.4300
